name,date,prcp,snow,snow_depth,tmin,tmax,tavg,date_day
Airport,2020/1/1,0,0,2,16,40,28,1
Airport,2020/1/2,0,0,2,36,45,40.5,2
Airport,2020/1/3,0,0,0,31,36,33.5,3
Airport,2020/1/4,0,0,0,23,31,27,4
Airport,2020/1/5,0,0,0,23,40,31.5,5
Airport,2020/1/6,0,0,0,25,43,34,6
Airport,2020/1/7,0,0,0,21,38,29.5,7
Airport,2020/1/8,0,0,0,6,21,13.5,8
Airport,2020/1/9,0.01,0,0,19,49,34,9
Airport,2020/1/10,0.47,2.5,0,28,40,34,10
Airport,2020/1/11,0.05,0.6,2,18,30,24,11
Airport,2020/1/12,0.17,1.9,2,13,26,19.5,12
Airport,2020/1/13,0.02,0.4,3.9,26,30,28,13
Airport,2020/1/14,0,0,3.1,28,36,32,14
Airport,2020/1/15,0.02,0.3,2,19,32,25.5,15
Airport,2020/1/16,0,0,2,3,24,13.5,16
Airport,2020/1/17,0.29,4.7,2,1,28,14.5,17
Airport,2020/1/18,0.15,1.1,5.9,3,32,17.5,18
Airport,2020/1/19,0,0,5.9,0,21,10.5,19
Airport,2020/1/20,0,0,5.1,4,25,14.5,20
Airport,2020/1/21,0,0,5.1,1,23,12,21
Airport,2020/1/22,0.02,0.2,5.1,21,31,26,22
Airport,2020/1/23,0.08,1.3,5.9,28,32,30,23
Airport,2020/1/24,0.25,2.1,7.1,32,34,33,24
Airport,2020/1/25,0.2,3.5,9.1,32,36,34,25
Airport,2020/1/26,0,0,7.1,27,33,30,26
Airport,2020/1/27,0,0.1,7.1,26,33,29.5,27
Airport,2020/1/28,0,0,7.1,24,31,27.5,28
Airport,2020/1/29,0,0,5.9,23,26,24.5,29
Airport,2020/1/30,0,0,5.9,24,30,27,30
Airport,2020/1/31,0.01,0.1,5.9,27,33,30,31
Airport,2020/2/1,0,0,5.9,32,38,35,32
Airport,2020/2/2,0,0,5.9,30,51,40.5,33
Airport,2020/2/3,0,0,5.1,24,39,31.5,34
Airport,2020/2/4,0,0,5.1,20,33,26.5,35
Airport,2020/2/5,0,0,5.1,14,26,20,36
Airport,2020/2/6,0,0,5.1,14,33,23.5,37
Airport,2020/2/7,0,0,5.1,12,34,23,38
Airport,2020/2/8,0,0,5.1,17,30,23.5,39
Airport,2020/2/9,0.37,6,5.9,16,32,24,40
Airport,2020/2/10,0,0,9.8,4,31,17.5,41
Airport,2020/2/11,0,0,9.1,17,30,23.5,42
Airport,2020/2/12,0.08,1.3,9.1,10,35,22.5,43
Airport,2020/2/13,0.03,0.8,9.1,-5,26,10.5,44
Airport,2020/2/14,0,0,7.9,-11,11,0,45
Airport,2020/2/15,0,0,7.9,5,33,19,46
Airport,2020/2/16,0,0,7.9,11,34,22.5,47
Airport,2020/2/17,0.46,5.2,7.9,23,34,28.5,48
Airport,2020/2/18,0,0,13,15,33,24,49
Airport,2020/2/19,0,0,11.8,2,20,11,50
Airport,2020/2/20,0,0,11,-8,17,4.5,51
Airport,2020/2/21,0,0,11,4,34,19,52
Airport,2020/2/22,0,0,9.8,23,40,31.5,53
Airport,2020/2/23,0,0,9.8,31,49,40,54
Airport,2020/2/24,0,0,7.9,22,38,30,55
